trip_id,trip_name,city,country,vibe,best_season,total_days,hotel_id,hotel_name,hotel_stars,hotel_room_type,hotel_price_per_night_aud,day_number,day_slot,activity_id,activity_name,activity_category,activity_address,activity_duration_hours,activity_price_aud,activity_rating,suitable_for,description
INT-TP-00001,The Best of Tokyo in 11 Days,Tokyo,Japan,Bustling; Modern; Traditional,Spring; Autumn,11,INT-HT-00076,Comfort Inn Tokyo,3,Standard,110,1,Morning,INT-AC-00301,Old Town Architecture Tour,Culture,"111 Museum District, Shibuya, Tokyo, Japan",2 hrs,85,4.5,Group,A 90-minute walking tour tracing the city's architectural evolution from medieval lanes to baroque facades and modernist interventions.
INT-TP-00001,The Best of Tokyo in 11 Days,Tokyo,Japan,Bustling; Modern; Traditional,Spring; Autumn,11,INT-HT-00076,Comfort Inn Tokyo,3,Standard,110,1,Afternoon,INT-AC-00276,Rock Climbing Tokyo,Adventure,"80 National Park Gate, Shinjuku, Tokyo, Japan",3 hrs,80,4.0,Solo,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-TP-00001,The Best of Tokyo in 11 Days,Tokyo,Japan,Bustling; Modern; Traditional,Spring; Autumn,11,INT-HT-00076,Comfort Inn Tokyo,3,Standard,110,1,Evening,INT-AC-00051,Traditional Craft Workshop,Culture,"170 Old Town, Shinjuku, Tokyo, Japan",2 hrs,120,4.8,Couple,"A two-hour hands-on session learning a regional craft — ceramics, weaving, or bookbinding — guided by a master artisan."
INT-TP-00001,The Best of Tokyo in 11 Days,Tokyo,Japan,Bustling; Modern; Traditional,Spring; Autumn,11,INT-HT-00076,Comfort Inn Tokyo,3,Standard,110,2,Morning,INT-AC-00326,Tokyo Cooking Class,Food,"130 Night Bazaar, Asakusa, Tokyo, Japan",4 hrs,160,4.7,Couple,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-TP-00001,The Best of Tokyo in 11 Days,Tokyo,Japan,Bustling; Modern; Traditional,Spring; Autumn,11,INT-HT-00076,Comfort Inn Tokyo,3,Standard,110,2,Afternoon,INT-AC-00151,Craft Beer & Brewery Tour,Food,"131 Night Bazaar, Shibuya, Tokyo, Japan",3 hrs,85,4.9,Group,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-TP-00001,The Best of Tokyo in 11 Days,Tokyo,Japan,Bustling; Modern; Traditional,Spring; Autumn,11,INT-HT-00076,Comfort Inn Tokyo,3,Standard,110,2,Evening,INT-AC-00001,Tokyo Food Tour,Food,"36 Street Food Alley, Shibuya, Tokyo, Japan",2 hrs,60,4.0,Couple,"Explore Tokyo's bustling neighbourhood markets and laneway eateries, sampling ramen, takoyaki, and seasonal street bites guided by a local food expert."
INT-TP-00001,The Best of Tokyo in 11 Days,Tokyo,Japan,Bustling; Modern; Traditional,Spring; Autumn,11,INT-HT-00076,Comfort Inn Tokyo,3,Standard,110,3,Morning,INT-AC-00026,Hot Air Balloon Ride,Adventure,"68 Wharf, Asakusa, Tokyo, Japan",6 hrs,385,4.8,Couple,"Float over the city at dawn in a private basket, watching the landscape emerge in golden light with a champagne breakfast on landing."
INT-TP-00001,The Best of Tokyo in 11 Days,Tokyo,Japan,Bustling; Modern; Traditional,Spring; Autumn,11,INT-HT-00076,Comfort Inn Tokyo,3,Standard,110,3,Afternoon,INT-AC-00076,Sushi Making Workshop,Food,"169 Street Food Alley, Shibuya, Tokyo, Japan",4 hrs,145,4.2,Couple,"Hands-on session teaching rice preparation, fish selection, and rolling technique — finish by eating your creations with sake pairings."
INT-TP-00001,The Best of Tokyo in 11 Days,Tokyo,Japan,Bustling; Modern; Traditional,Spring; Autumn,11,INT-HT-00076,Comfort Inn Tokyo,3,Standard,110,3,Evening,INT-AC-00176,Spa & Wellness Half Day,Relaxation,"161 Wellness Centre, Asakusa, Tokyo, Japan",5 hrs,110,4.7,Couple,"Four hours of treatments including a traditional massage, thermal pools, and a skin ritual using locally sourced botanicals."
INT-TP-00001,The Best of Tokyo in 11 Days,Tokyo,Japan,Bustling; Modern; Traditional,Spring; Autumn,11,INT-HT-00076,Comfort Inn Tokyo,3,Standard,110,4,Morning,INT-AC-00126,Local Neighbourhood Walk,Culture,"39 Museum District, Shinjuku, Tokyo, Japan",2 hrs,30,4.4,Solo,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
