hotel_id,hotel_name,city,country,property_type,star_rating,room_type,price_per_night_aud,max_guests,amenities,availability_start,availability_end
INT-HT-00001,Sheraton London,London,UK,Resort,5,Deluxe,939,3,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00002,Sheraton Amsterdam,Amsterdam,Netherlands,Boutique,4,Standard,940,1,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00003,Four Seasons Hong Kong,Hong Kong,China,Boutique,5,Standard,733,3,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00004,Sheraton Seoul,Seoul,South Korea,Boutique,4,Deluxe,925,4,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00005,Hilton San Francisco,San Francisco,USA,Hotel,3,Suite,448,2,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00006,InterContinental Tokyo,Tokyo,Japan,Resort,4,Deluxe,940,1,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00007,Hyatt Amsterdam,Amsterdam,Netherlands,Resort,3,Suite,439,2,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00008,Hilton Cape Town,Cape Town,South Africa,Boutique,3,Deluxe,719,3,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00009,Marriott Singapore,Singapore,Singapore,Hotel,3,Deluxe,423,2,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00010,InterContinental Cape Town,Cape Town,South Africa,Boutique,4,Standard,863,1,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00011,Marriott Rome,Rome,Italy,Resort,5,Deluxe,715,4,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00012,InterContinental Los Angeles,Los Angeles,USA,Hotel,4,Deluxe,878,1,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00013,InterContinental Cape Town,Cape Town,South Africa,Resort,5,Suite,634,1,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00014,InterContinental Paris,Paris,France,Resort,4,Deluxe,545,2,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00015,Hilton Bangkok,Bangkok,Thailand,Hotel,3,Standard,400,3,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00016,InterContinental Mumbai,Mumbai,India,Resort,4,Suite,770,2,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00017,Hyatt Amsterdam,Amsterdam,Netherlands,Resort,5,Standard,823,2,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00018,Marriott Seoul,Seoul,South Korea,Resort,4,Standard,911,4,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00019,Sheraton Toronto,Toronto,Canada,Boutique,4,Suite,624,3,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00020,Sheraton Istanbul,Istanbul,Turkey,Boutique,5,Standard,1066,3,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00021,Four Seasons Barcelona,Barcelona,Spain,Resort,3,Deluxe,430,2,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00022,Marriott Dubai,Dubai,UAE,Resort,4,Suite,543,1,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00023,Marriott Bangkok,Bangkok,Thailand,Boutique,4,Suite,757,4,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00024,Marriott Berlin,Berlin,Germany,Boutique,5,Standard,894,1,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00025,Hyatt Barcelona,Barcelona,Spain,Boutique,4,Standard,965,3,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00026,Hilton Tokyo,Tokyo,Japan,Hotel,4,Standard,830,4,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00027,Hyatt Zurich,Zurich,Switzerland,Hotel,5,Suite,600,3,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00028,Hilton Berlin,Berlin,Germany,Resort,3,Standard,621,3,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00029,Sheraton Cape Town,Cape Town,South Africa,Hotel,4,Standard,834,3,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00030,Hyatt Toronto,Toronto,Canada,Hotel,5,Suite,957,3,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00031,Hilton Cape Town,Cape Town,South Africa,Boutique,5,Standard,907,2,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00032,InterContinental Zurich,Zurich,Switzerland,Resort,5,Standard,955,4,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00033,Marriott Seoul,Seoul,South Korea,Resort,4,Suite,745,1,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00034,Four Seasons London,London,UK,Boutique,5,Deluxe,711,1,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00035,InterContinental Los Angeles,Los Angeles,USA,Boutique,4,Deluxe,496,2,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00036,InterContinental Mumbai,Mumbai,India,Boutique,5,Standard,901,3,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00037,Marriott Singapore,Singapore,Singapore,Boutique,4,Suite,773,1,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00038,InterContinental Hong Kong,Hong Kong,China,Boutique,5,Suite,898,1,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00039,Sheraton Berlin,Berlin,Germany,Hotel,4,Suite,588,3,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00040,Sheraton Dubai,Dubai,UAE,Resort,4,Suite,650,2,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00041,Sheraton Hong Kong,Hong Kong,China,Boutique,3,Standard,454,4,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00042,InterContinental New York,New York,USA,Hotel,3,Suite,839,1,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00043,Marriott Berlin,Berlin,Germany,Resort,5,Deluxe,999,1,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00044,Four Seasons Barcelona,Barcelona,Spain,Boutique,3,Deluxe,711,3,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00045,Hilton San Francisco,San Francisco,USA,Hotel,4,Suite,744,1,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00046,InterContinental Paris,Paris,France,Hotel,4,Standard,659,1,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00047,Sheraton Bangkok,Bangkok,Thailand,Hotel,4,Deluxe,652,3,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00048,Sheraton New York,New York,USA,Boutique,5,Deluxe,759,4,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00049,Hilton New York,New York,USA,Resort,4,Deluxe,697,1,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00050,Marriott Rome,Rome,Italy,Hotel,3,Suite,658,4,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00051,Marriott Mumbai,Mumbai,India,Boutique,3,Deluxe,833,2,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00052,Four Seasons Dubai,Dubai,UAE,Hotel,4,Suite,779,1,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00053,Marriott Tokyo,Tokyo,Japan,Hotel,5,Standard,755,1,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00054,Hyatt Tokyo,Tokyo,Japan,Resort,5,Deluxe,1016,2,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00055,Hilton Paris,Paris,France,Boutique,3,Standard,504,3,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00056,Sheraton Istanbul,Istanbul,Turkey,Hotel,5,Suite,1063,3,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00057,Marriott Singapore,Singapore,Singapore,Hotel,3,Suite,731,4,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00058,Hilton London,London,UK,Boutique,5,Deluxe,703,2,"wifi,AC,concierge",2026-01-01,2026-12-31
INT-HT-00059,Four Seasons Bangkok,Bangkok,Thailand,Boutique,5,Deluxe,904,4,"wifi,AC,concierge",2026-01-01,2026-12-31
