flight_id,airline,origin,destination,departure_datetime,cabin_class,price_aud
INT-FL-00001,Etihad Airways,Paris,Vienna,2026-06-04 21:00,Premium Economy,350
INT-FL-00002,United Airlines,Istanbul,Bangkok,2026-09-22 11:00,Economy,1000
INT-FL-00003,Qantas,Cape Town,Berlin,2026-05-08 07:15,Economy,800
INT-FL-00004,Qantas,Istanbul,Bangkok,2026-05-31 19:15,First,8650
INT-FL-00005,Delta Airlines,Amsterdam,Bali,2026-11-06 15:00,Economy,1750
INT-FL-00006,Japan Airlines,Los Angeles,Berlin,2026-08-14 08:15,Premium Economy,1600
INT-FL-00007,Qantas,Singapore,Vienna,2026-10-27 20:45,Economy,1100
INT-FL-00008,Etihad Airways,Paris,New York,2026-11-19 08:15,Business,3650
INT-FL-00009,Japan Airlines,Prague,Istanbul,2026-07-25 10:30,Economy,800
INT-FL-00010,Air France,Brisbane,Paris,2026-08-26 20:00,Business,5100
INT-FL-00011,Swiss International,Zurich,Bangkok,2026-12-13 21:45,Business,2300
INT-FL-00012,Air Canada,Lisbon,Paris,2026-08-07 06:00,Business,1100
INT-FL-00013,Virgin Australia,Maldives,Istanbul,2026-08-16 07:15,First,8050
INT-FL-00014,Delta Airlines,Kyoto,Prague,2026-07-02 19:45,Business,2400
INT-FL-00015,Air Canada,Cape Town,Rome,2026-05-24 11:30,Economy,1350
INT-FL-00016,Etihad Airways,Zurich,Cape Town,2026-10-23 07:45,Premium Economy,1100
INT-FL-00017,Cathay Pacific,Barcelona,Sydney,2026-10-24 22:00,Economy,1600
INT-FL-00018,Singapore Airlines,Bali,Seoul,2026-10-03 21:45,Economy,600
INT-FL-00019,Thai Airways,Paris,London,2026-08-26 20:45,Premium Economy,1200
INT-FL-00020,Air New Zealand,Tokyo,Prague,2026-06-21 15:00,Business,5700
INT-FL-00021,Korean Air,Seoul,Brisbane,2026-05-29 20:00,First,4500
INT-FL-00022,Etihad Airways,Cape Town,Zurich,2026-08-18 19:45,Premium Economy,2350
INT-FL-00023,Air Asia,New York,Bali,2026-07-07 22:15,Economy,650
INT-FL-00024,Air Canada,Sydney,Toronto,2026-12-16 14:00,Economy,1100
INT-FL-00025,Virgin Australia,Los Angeles,Bangkok,2026-12-07 10:45,Premium Economy,2550
INT-FL-00026,Cathay Pacific,Cape Town,Rome,2026-10-11 20:30,Premium Economy,1400
INT-FL-00027,Virgin Australia,Zurich,New York,2026-10-28 07:30,Economy,1450
INT-FL-00028,Swiss International,Zurich,Amsterdam,2026-06-17 21:00,First,1450
INT-FL-00029,Cathay Pacific,Kyoto,Istanbul,2026-11-12 09:45,Business,1850
INT-FL-00030,Air Canada,Los Angeles,Dubai,2026-06-19 08:45,Business,3650
INT-FL-00031,Swiss International,Barcelona,Lisbon,2026-09-16 18:30,Premium Economy,850
INT-FL-00032,United Airlines,Zurich,Toronto,2026-04-19 08:15,Business,6250
INT-FL-00033,Korean Air,Maldives,Bangkok,2026-11-09 09:00,Business,4950
INT-FL-00034,Etihad Airways,Singapore,Zurich,2026-04-24 16:00,Business,3850
INT-FL-00035,British Airways,Rome,Seoul,2026-10-28 11:15,Economy,850
INT-FL-00036,Swiss International,Brisbane,Lisbon,2026-08-02 21:15,Premium Economy,1550
INT-FL-00037,Thai Airways,Bali,Prague,2026-04-05 20:30,Economy,1600
INT-FL-00038,Delta Airlines,Singapore,Brisbane,2026-09-01 19:30,Business,5000
INT-FL-00039,Swiss International,Bangkok,London,2026-05-25 13:45,Business,5850
INT-FL-00040,Etihad Airways,Rome,Istanbul,2026-08-30 06:45,First,5850
INT-FL-00041,Singapore Airlines,Tokyo,Istanbul,2026-12-11 15:15,Business,6100
INT-FL-00042,Japan Airlines,Rome,New York,2026-06-10 09:00,Premium Economy,1800
INT-FL-00043,Virgin Australia,Bali,Paris,2026-06-07 08:30,Economy,1150
INT-FL-00044,Air France,Los Angeles,Seoul,2026-10-05 22:30,Economy,850
INT-FL-00045,Etihad Airways,Sydney,Cape Town,2026-09-21 09:45,Business,2300
INT-FL-00046,Korean Air,Dubai,Toronto,2026-10-21 17:00,Business,4600
