flight_id,airline,origin,origin_country,destination,destination_country,departure_datetime,arrival_datetime,duration_minutes,cabin_class,price_aud,seats_available,booking_class
INT-FL-00001,Singapore Airlines,Dubai,UAE,Bangkok,Thailand,2026-08-15 18:30,2026-08-16 02:35,485,Business,3902,208,Saver
INT-FL-00002,Delta,Barcelona,Spain,Rome,Italy,2026-04-13 16:18,2026-04-13 18:50,152,Business,3634,245,Flex
INT-FL-00003,Lufthansa,San Francisco,USA,London,UK,2026-11-14 11:32,2026-11-14 17:07,335,Economy,2099,161,Saver
INT-FL-00004,Lufthansa,Hong Kong,China,London,UK,2026-11-29 05:54,2026-11-29 17:36,702,First,6665,87,Saver
INT-FL-00005,British Airways,Barcelona,Spain,Singapore,Singapore,2026-05-08 21:11,2026-05-09 03:10,359,First,7484,126,Saver
INT-FL-00006,Qatar Airways,Cape Town,South Africa,Los Angeles,USA,2026-08-09 22:28,2026-08-10 05:54,446,Business,3371,134,Saver
INT-FL-00007,Qatar Airways,Seoul,South Korea,Rome,Italy,2026-03-08 09:20,2026-03-08 16:52,452,Business,3591,275,Premium
INT-FL-00008,Qatar Airways,Istanbul,Turkey,Tokyo,Japan,2026-11-17 00:14,2026-11-17 08:30,496,Business,3047,300,Premium
INT-FL-00009,Emirates,San Francisco,USA,Zurich,Switzerland,2026-09-21 15:31,2026-09-22 02:09,638,Economy,819,58,Flex
INT-FL-00010,Delta,Rome,Italy,Istanbul,Turkey,2026-10-05 23:58,2026-10-06 01:02,64,Business,2623,256,Flex
INT-FL-00011,Emirates,Hong Kong,China,Barcelona,Spain,2026-09-23 15:35,2026-09-24 01:49,614,First,7381,219,Saver
INT-FL-00012,Delta,Tokyo,Japan,Istanbul,Turkey,2026-05-02 14:20,2026-05-02 16:43,143,Economy,1951,235,Saver
INT-FL-00013,Qatar Airways,London,UK,Seoul,South Korea,2026-02-26 22:50,2026-02-27 02:02,192,First,6113,157,Saver
INT-FL-00014,Singapore Airlines,London,UK,Los Angeles,USA,2026-10-16 11:03,2026-10-16 19:06,483,Business,3256,218,Flex
INT-FL-00015,British Airways,Los Angeles,USA,Zurich,Switzerland,2026-01-24 13:29,2026-01-24 19:18,349,First,6159,184,Premium
INT-FL-00016,Singapore Airlines,Cape Town,South Africa,San Francisco,USA,2026-01-04 08:24,2026-01-04 16:15,471,First,6040,22,Saver
INT-FL-00017,Lufthansa,Amsterdam,Netherlands,Zurich,Switzerland,2026-04-08 02:29,2026-04-08 16:03,814,Business,2739,34,Saver
INT-FL-00018,Singapore Airlines,Amsterdam,Netherlands,Dubai,UAE,2026-01-11 09:52,2026-01-12 01:50,958,First,6601,80,Saver
INT-FL-00019,Lufthansa,Barcelona,Spain,Cape Town,South Africa,2026-02-14 07:22,2026-02-14 12:48,326,Economy,1255,86,Saver
INT-FL-00020,Delta,Rome,Italy,Barcelona,Spain,2026-10-30 22:36,2026-10-31 13:45,909,First,6192,189,Premium
INT-FL-00021,British Airways,Los Angeles,USA,Hong Kong,China,2026-07-15 11:12,2026-07-15 21:54,642,Economy,1565,125,Premium
INT-FL-00022,Singapore Airlines,Hong Kong,China,Tokyo,Japan,2026-05-02 06:25,2026-05-02 07:58,93,First,7235,134,Flex
INT-FL-00023,Delta,Paris,France,London,UK,2026-12-16 11:39,2026-12-16 13:43,124,First,7454,175,Premium
INT-FL-00024,Delta,Bangkok,Thailand,London,UK,2026-11-29 17:35,2026-11-30 01:13,458,Business,3515,77,Saver
INT-FL-00025,Lufthansa,Berlin,Germany,Barcelona,Spain,2026-11-28 16:02,2026-11-28 18:30,148,Economy,1866,282,Saver
INT-FL-00026,Delta,Bangkok,Thailand,San Francisco,USA,2026-03-19 11:45,2026-03-19 18:30,405,First,6589,77,Flex
INT-FL-00027,Singapore Airlines,Cape Town,South Africa,Mumbai,India,2026-01-30 23:57,2026-01-31 15:26,929,Economy,1386,183,Saver
INT-FL-00028,Emirates,Cape Town,South Africa,Bangkok,Thailand,2026-04-13 02:45,2026-04-13 11:46,541,Business,3292,72,Saver
INT-FL-00029,Delta,Los Angeles,USA,Berlin,Germany,2026-11-14 23:43,2026-11-15 06:25,402,Business,3807,257,Saver
INT-FL-00030,Delta,Istanbul,Turkey,Mumbai,India,2026-04-03 09:28,2026-04-03 22:59,811,Business,2533,232,Premium
INT-FL-00031,Singapore Airlines,Paris,France,Istanbul,Turkey,2026-03-13 10:12,2026-03-13 12:46,154,Business,3161,249,Premium
INT-FL-00032,Delta,Toronto,Canada,Zurich,Switzerland,2026-06-01 13:55,2026-06-01 17:28,213,Business,3485,197,Premium
INT-FL-00033,Lufthansa,Seoul,South Korea,Rome,Italy,2026-04-12 12:15,2026-04-12 20:36,501,First,7198,42,Premium
INT-FL-00034,Qatar Airways,Dubai,UAE,Tokyo,Japan,2026-09-01 14:19,2026-09-01 20:04,345,First,6634,179,Saver
INT-FL-00035,Singapore Airlines,Rome,Italy,Barcelona,Spain,2026-04-27 07:16,2026-04-27 10:28,192,Economy,1769,225,Flex
INT-FL-00036,Emirates,Cape Town,South Africa,Amsterdam,Netherlands,2026-03-06 23:57,2026-03-07 11:30,693,First,6505,150,Flex
INT-FL-00037,Qatar Airways,Mumbai,India,Singapore,Singapore,2026-01-18 06:35,2026-01-18 10:38,243,Business,3195,199,Premium
INT-FL-00038,British Airways,Bangkok,Thailand,Cape Town,South Africa,2026-09-01 19:41,2026-09-02 02:56,435,First,6386,248,Premium
INT-FL-00039,Emirates,New York,USA,Toronto,Canada,2026-12-06 23:11,2026-12-07 05:33,382,Economy,1342,95,Flex
INT-FL-00040,Singapore Airlines,Barcelona,Spain,Amsterdam,Netherlands,2026-07-06 07:52,2026-07-06 10:49,177,Economy,1500,71,Flex
INT-FL-00041,Emirates,Toronto,Canada,Singapore,Singapore,2026-06-13 18:23,2026-06-14 07:39,796,First,6661,33,Premium
INT-FL-00042,Singapore Airlines,Dubai,UAE,Singapore,Singapore,2026-03-10 21:14,2026-03-11 08:31,677,First,7201,296,Premium
