activity_id,activity_name,city,category,price_aud,rating,suitable_for
INT-AC-00001,Tokyo Food Tour,Tokyo,Food,60,4.0,Couple
INT-AC-00002,Paris Cooking Class,Paris,Food,110,4.2,Group
INT-AC-00003,Street Food Night Walk Brisbane,Brisbane,Food,80,4.7,Group
INT-AC-00004,Sushi Making Workshop,Berlin,Food,135,4.4,Group
INT-AC-00005,Wine & Cheese Tasting,Dubai,Food,70,4.2,Couple
INT-AC-00006,Local Market Food Experience,Singapore,Food,65,4.2,Group
INT-AC-00007,London History Walking Tour,London,Culture,50,4.4,Group
INT-AC-00008,Museum Skip-the-Line Tour,New York,Culture,90,4.9,Solo
INT-AC-00009,Sydney Art Gallery Visit,Sydney,Culture,50,4.3,Solo
INT-AC-00010,Ancient Temple Morning Walk,Bangkok,Culture,45,5.0,Group
INT-AC-00011,Old Town Architecture Tour,Barcelona,Culture,45,4.1,Group
INT-AC-00012,Cultural Dance Show,Rome,Culture,100,4.8,Group
INT-AC-00013,Traditional Craft Workshop,Amsterdam,Culture,70,4.7,Group
INT-AC-00014,Photography City Tour,Seoul,Culture,110,4.4,Couple
INT-AC-00015,Bali Bike Tour,Bali,Adventure,80,4.6,Group
INT-AC-00016,River Kayaking Experience,Cape Town,Adventure,145,4.2,Group
INT-AC-00017,Sunset Sailing Cruise,Kyoto,Adventure,85,4.7,Group
INT-AC-00018,Jungle Trekking Adventure,Vienna,Adventure,70,4.9,Group
INT-AC-00019,Desert Safari Experience,Istanbul,Adventure,250,4.3,Couple
INT-AC-00020,Rock Climbing Lisbon,Lisbon,Adventure,75,4.4,Solo
INT-AC-00021,Scuba Diving Lesson,Prague,Adventure,175,4.3,Couple
INT-AC-00022,Hot Air Balloon Ride,Maldives,Adventure,405,4.6,Couple
INT-AC-00023,Zip Line Forest Canopy,Zurich,Adventure,85,4.5,Solo
INT-AC-00024,Stand-Up Paddleboard Tour,Los Angeles,Adventure,85,4.7,Solo
INT-AC-00025,Harbour Sunset Cruise,Toronto,Relaxation,95,4.8,Couple
INT-AC-00026,Spa & Wellness Half Day,Tokyo,Relaxation,110,4.8,Solo
INT-AC-00027,Rooftop Bar Sunset Experience,Paris,Relaxation,65,4.3,Couple
INT-AC-00028,City Panorama Cable Car,Brisbane,Relaxation,65,4.9,Couple
INT-AC-00029,Berlin Food Tour,Berlin,Food,70,4.7,Couple
INT-AC-00030,Dubai Cooking Class,Dubai,Food,160,4.5,Couple
INT-AC-00031,Street Food Night Walk Singapore,Singapore,Food,45,4.2,Solo
INT-AC-00032,Sushi Making Workshop,London,Food,145,4.6,Couple
INT-AC-00033,Wine & Cheese Tasting,New York,Food,105,4.2,Couple
INT-AC-00034,Local Market Food Experience,Sydney,Food,60,4.5,Solo
INT-AC-00035,Bangkok History Walking Tour,Bangkok,Culture,90,4.1,Solo
INT-AC-00036,Museum Skip-the-Line Tour,Barcelona,Culture,90,4.7,Solo
INT-AC-00037,Rome Art Gallery Visit,Rome,Culture,50,4.4,Couple
INT-AC-00038,Ancient Temple Morning Walk,Amsterdam,Culture,65,4.3,Solo
INT-AC-00039,Old Town Architecture Tour,Seoul,Culture,85,4.7,Couple
INT-AC-00040,Cultural Dance Show,Bali,Culture,100,4.1,Group
INT-AC-00041,Traditional Craft Workshop,Cape Town,Culture,85,4.5,Couple
INT-AC-00042,Photography City Tour,Kyoto,Culture,80,4.8,Solo
INT-AC-00043,Vienna Bike Tour,Vienna,Adventure,80,4.3,Solo
INT-AC-00044,River Kayaking Experience,Istanbul,Adventure,90,4.4,Group
INT-AC-00045,Sunset Sailing Cruise,Lisbon,Adventure,150,5.0,Couple
INT-AC-00046,Jungle Trekking Adventure,Prague,Adventure,135,4.3,Group
INT-AC-00047,Desert Safari Experience,Maldives,Adventure,215,4.9,Couple
INT-AC-00048,Rock Climbing Zurich,Zurich,Adventure,85,4.1,Solo
INT-AC-00049,Scuba Diving Lesson,Los Angeles,Adventure,100,4.7,Couple
INT-AC-00050,Hot Air Balloon Ride,Toronto,Adventure,445,4.5,Couple
INT-AC-00051,Zip Line Forest Canopy,Tokyo,Adventure,80,4.7,Group
INT-AC-00052,Stand-Up Paddleboard Tour,Paris,Adventure,60,4.5,Couple
