hotel_id,hotel_name,city,country,star_rating,room_type,price_per_night_aud
INT-HT-00001,Mandarin Oriental Tokyo,Tokyo,Japan,5,Deluxe Suite,820
INT-HT-00002,Marriott Paris,Paris,France,4,Junior Suite,370
INT-HT-00003,InterContinental Brisbane,Brisbane,Australia,4,Superior,250
INT-HT-00004,Mercure Berlin,Berlin,Germany,3,Superior,110
INT-HT-00005,Holiday Inn Dubai,Dubai,UAE,3,Standard,90
INT-HT-00006,Motel 6 Singapore,Singapore,Singapore,2,Economy,60
INT-HT-00007,Four Seasons London,London,UK,5,Executive Suite,640
INT-HT-00008,Sofitel New York,New York,USA,4,Junior Suite,330
INT-HT-00009,Sofitel Sydney,Sydney,Australia,4,Suite,380
INT-HT-00010,Ibis Bangkok,Bangkok,Thailand,3,Superior,100
INT-HT-00011,Novotel Barcelona,Barcelona,Spain,3,Standard,100
INT-HT-00012,OYO Rome,Rome,Italy,2,Economy,80
INT-HT-00013,Mandarin Oriental Amsterdam,Amsterdam,Netherlands,5,Presidential Suite,740
INT-HT-00014,Sofitel Seoul,Seoul,South Korea,4,Deluxe,280
INT-HT-00015,Sofitel Bali,Bali,Indonesia,4,Superior,260
INT-HT-00016,Mercure Cape Town,Cape Town,South Africa,3,Standard,130
INT-HT-00017,Comfort Inn Kyoto,Kyoto,Japan,3,Deluxe,150
INT-HT-00018,Motel 6 Vienna,Vienna,Austria,2,Economy,70
INT-HT-00019,Mandarin Oriental Istanbul,Istanbul,Turkey,5,Executive Suite,770
INT-HT-00020,Marriott Lisbon,Lisbon,Portugal,4,Suite,300
INT-HT-00021,Westin Prague,Prague,Czech Republic,4,Junior Suite,270
INT-HT-00022,Novotel Maldives,Maldives,Maldives,3,Deluxe,100
INT-HT-00023,Mercure Zurich,Zurich,Switzerland,3,Deluxe,160
INT-HT-00024,Motel 6 Los Angeles,Los Angeles,USA,2,Economy,70
INT-HT-00025,Four Seasons Toronto,Toronto,Canada,5,Executive Suite,610
INT-HT-00026,InterContinental Tokyo,Tokyo,Japan,4,Suite,290
INT-HT-00027,InterContinental Paris,Paris,France,4,Superior,300
INT-HT-00028,Holiday Inn Brisbane,Brisbane,Australia,3,Deluxe,100
INT-HT-00029,Comfort Inn Berlin,Berlin,Germany,3,Deluxe,140
INT-HT-00030,Premier Inn Dubai,Dubai,UAE,2,Standard,80
INT-HT-00031,Ritz-Carlton Singapore,Singapore,Singapore,5,Executive Suite,580
INT-HT-00032,Hyatt London,London,UK,4,Superior,210
INT-HT-00033,Hyatt New York,New York,USA,4,Junior Suite,320
INT-HT-00034,Ibis Sydney,Sydney,Australia,3,Superior,120
INT-HT-00035,Comfort Inn Bangkok,Bangkok,Thailand,3,Standard,150
INT-HT-00036,OYO Barcelona,Barcelona,Spain,2,Economy,70
INT-HT-00037,Ritz-Carlton Rome,Rome,Italy,5,Suite,860
INT-HT-00038,Marriott Amsterdam,Amsterdam,Netherlands,4,Junior Suite,250
INT-HT-00039,Westin Seoul,Seoul,South Korea,4,Junior Suite,220
INT-HT-00040,Holiday Inn Bali,Bali,Indonesia,3,Standard,130
INT-HT-00041,Mercure Cape Town,Cape Town,South Africa,3,Deluxe,130
INT-HT-00042,EasyHotel Kyoto,Kyoto,Japan,2,Economy,90
INT-HT-00043,St. Regis Vienna,Vienna,Austria,5,Presidential Suite,840
INT-HT-00044,Sofitel Istanbul,Istanbul,Turkey,4,Junior Suite,370
INT-HT-00045,Westin Lisbon,Lisbon,Portugal,4,Junior Suite,290
INT-HT-00046,Holiday Inn Prague,Prague,Czech Republic,3,Deluxe,110
INT-HT-00047,Comfort Inn Maldives,Maldives,Maldives,3,Superior,140
INT-HT-00048,Premier Inn Zurich,Zurich,Switzerland,2,Economy,50
INT-HT-00049,Mandarin Oriental Los Angeles,Los Angeles,USA,5,Deluxe Suite,600
INT-HT-00050,Hilton Toronto,Toronto,Canada,4,Deluxe,230
INT-HT-00051,Hyatt Tokyo,Tokyo,Japan,4,Junior Suite,330
INT-HT-00052,Holiday Inn Paris,Paris,France,3,Standard,120
INT-HT-00053,Novotel Brisbane,Brisbane,Australia,3,Deluxe,130
INT-HT-00054,Ibis Budget Berlin,Berlin,Germany,2,Standard,80
INT-HT-00055,St. Regis Dubai,Dubai,UAE,5,Suite,850
INT-HT-00056,Sofitel Singapore,Singapore,Singapore,4,Junior Suite,300
INT-HT-00057,Hilton London,London,UK,4,Suite,350
INT-HT-00058,Mercure New York,New York,USA,3,Deluxe,150
INT-HT-00059,Comfort Inn Sydney,Sydney,Australia,3,Deluxe,160
INT-HT-00060,OYO Bangkok,Bangkok,Thailand,2,Standard,60
INT-HT-00061,St. Regis Barcelona,Barcelona,Spain,5,Suite,650
INT-HT-00062,Westin Rome,Rome,Italy,4,Junior Suite,340
INT-HT-00063,InterContinental Amsterdam,Amsterdam,Netherlands,4,Superior,390
INT-HT-00064,Comfort Inn Seoul,Seoul,South Korea,3,Standard,160
INT-HT-00065,Comfort Inn Bali,Bali,Indonesia,3,Deluxe,140
INT-HT-00066,Ibis Budget Cape Town,Cape Town,South Africa,2,Economy,50
INT-HT-00067,St. Regis Kyoto,Kyoto,Japan,5,Deluxe Suite,510
INT-HT-00068,InterContinental Vienna,Vienna,Austria,4,Suite,250
INT-HT-00069,Hilton Istanbul,Istanbul,Turkey,4,Suite,350
INT-HT-00070,Mercure Lisbon,Lisbon,Portugal,3,Superior,150
INT-HT-00071,Mercure Prague,Prague,Czech Republic,3,Superior,160
INT-HT-00072,OYO Maldives,Maldives,Maldives,2,Standard,80
INT-HT-00073,Four Seasons Zurich,Zurich,Switzerland,5,Executive Suite,580
INT-HT-00074,Marriott Los Angeles,Los Angeles,USA,4,Deluxe,350
INT-HT-00075,Hyatt Toronto,Toronto,Canada,4,Superior,360
INT-HT-00076,Comfort Inn Tokyo,Tokyo,Japan,3,Standard,110
INT-HT-00077,Mercure Paris,Paris,France,3,Deluxe,100
