activity_id,activity_name,city,country,category,duration_hours,price_aud,rating,suitable_for,availability
INT-AC-00001,New York River Cruise,New York,USA,Culture,3,132,4.2,Couple,Year-round
INT-AC-00002,Paris River Cruise,Paris,France,Adventure,4,308,4.3,Solo,Year-round
INT-AC-00003,Dubai City Tour,Dubai,UAE,Adventure,3,272,4.1,Group,Year-round
INT-AC-00004,Los Angeles Museum Pass,Los Angeles,USA,Adventure,4,202,4.0,Group,Year-round
INT-AC-00005,Singapore City Tour,Singapore,Singapore,Adventure,3,370,4.6,Solo,Year-round
INT-AC-00006,London Museum Pass,London,UK,Food,5,236,4.2,Group,Year-round
INT-AC-00007,Singapore Museum Pass,Singapore,Singapore,Food,1,170,4.1,Solo,Year-round
INT-AC-00008,Cape Town City Tour,Cape Town,South Africa,Culture,2,131,4.1,Solo,Year-round
INT-AC-00009,Cape Town Cooking Class,Cape Town,South Africa,Culture,4,295,4.4,Group,Year-round
INT-AC-00010,Cape Town Cooking Class,Cape Town,South Africa,Culture,4,160,4.8,Couple,Year-round
INT-AC-00011,Los Angeles City Tour,Los Angeles,USA,Adventure,4,279,4.1,Group,Year-round
INT-AC-00012,Mumbai Museum Pass,Mumbai,India,Culture,3,136,4.7,Solo,Year-round
INT-AC-00013,Cape Town River Cruise,Cape Town,South Africa,Food,3,152,5.0,Solo,Year-round
INT-AC-00014,Rome River Cruise,Rome,Italy,Adventure,1,345,4.9,Solo,Year-round
INT-AC-00015,San Francisco Cooking Class,San Francisco,USA,Food,2,126,4.9,Solo,Year-round
INT-AC-00016,Seoul City Tour,Seoul,South Korea,Adventure,3,288,4.7,Solo,Year-round
INT-AC-00017,Los Angeles Museum Pass,Los Angeles,USA,Adventure,3,111,4.2,Solo,Year-round
INT-AC-00018,Los Angeles River Cruise,Los Angeles,USA,Adventure,4,395,4.4,Couple,Year-round
INT-AC-00019,Barcelona River Cruise,Barcelona,Spain,Food,5,227,4.3,Couple,Year-round
INT-AC-00020,Paris River Cruise,Paris,France,Food,1,120,4.4,Group,Year-round
INT-AC-00021,Bangkok Museum Pass,Bangkok,Thailand,Culture,6,243,5.0,Group,Year-round
INT-AC-00022,San Francisco Museum Pass,San Francisco,USA,Food,2,259,4.0,Solo,Year-round
INT-AC-00023,Los Angeles Cooking Class,Los Angeles,USA,Food,6,140,5.0,Solo,Year-round
INT-AC-00024,Cape Town Museum Pass,Cape Town,South Africa,Adventure,3,396,4.1,Solo,Year-round
INT-AC-00025,Paris Cooking Class,Paris,France,Food,4,334,4.8,Couple,Year-round
INT-AC-00026,London River Cruise,London,UK,Adventure,2,310,4.5,Group,Year-round
INT-AC-00027,Zurich Cooking Class,Zurich,Switzerland,Adventure,3,324,4.6,Solo,Year-round
INT-AC-00028,Berlin City Tour,Berlin,Germany,Food,4,378,4.0,Solo,Year-round
INT-AC-00029,Paris Museum Pass,Paris,France,Food,6,75,4.4,Solo,Year-round
INT-AC-00030,Mumbai City Tour,Mumbai,India,Culture,4,220,5.0,Couple,Year-round
INT-AC-00031,New York River Cruise,New York,USA,Culture,1,381,4.5,Group,Year-round
INT-AC-00032,Zurich Museum Pass,Zurich,Switzerland,Culture,5,332,4.8,Group,Year-round
INT-AC-00033,Rome City Tour,Rome,Italy,Food,6,103,4.5,Solo,Year-round
INT-AC-00034,Singapore Cooking Class,Singapore,Singapore,Adventure,6,157,4.6,Group,Year-round
INT-AC-00035,Barcelona Museum Pass,Barcelona,Spain,Adventure,4,210,4.1,Group,Year-round
INT-AC-00036,Toronto City Tour,Toronto,Canada,Culture,1,385,4.3,Group,Year-round
INT-AC-00037,London Museum Pass,London,UK,Adventure,6,264,4.8,Couple,Year-round
INT-AC-00038,New York Cooking Class,New York,USA,Culture,2,59,4.1,Solo,Year-round
INT-AC-00039,Seoul Museum Pass,Seoul,South Korea,Adventure,1,171,4.3,Couple,Year-round
INT-AC-00040,Tokyo City Tour,Tokyo,Japan,Culture,4,304,4.6,Couple,Year-round
INT-AC-00041,Bangkok Cooking Class,Bangkok,Thailand,Culture,4,366,5.0,Solo,Year-round
INT-AC-00042,Zurich Cooking Class,Zurich,Switzerland,Adventure,2,327,4.6,Couple,Year-round
INT-AC-00043,Toronto Museum Pass,Toronto,Canada,Adventure,3,129,4.4,Group,Year-round
INT-AC-00044,San Francisco City Tour,San Francisco,USA,Adventure,6,131,4.8,Solo,Year-round
INT-AC-00045,Rome City Tour,Rome,Italy,Adventure,1,159,5.0,Couple,Year-round
INT-AC-00046,Seoul Museum Pass,Seoul,South Korea,Culture,5,382,4.0,Solo,Year-round
INT-AC-00047,Singapore Museum Pass,Singapore,Singapore,Adventure,1,190,4.6,Couple,Year-round
INT-AC-00048,Singapore Cooking Class,Singapore,Singapore,Culture,2,167,4.9,Group,Year-round
INT-AC-00049,Berlin Cooking Class,Berlin,Germany,Food,3,54,4.3,Couple,Year-round
INT-AC-00050,San Francisco Cooking Class,San Francisco,USA,Adventure,6,370,4.9,Group,Year-round
INT-AC-00051,Istanbul Museum Pass,Istanbul,Turkey,Culture,1,269,4.6,Solo,Year-round
INT-AC-00052,Mumbai Cooking Class,Mumbai,India,Adventure,6,242,4.8,Solo,Year-round
INT-AC-00053,Los Angeles Cooking Class,Los Angeles,USA,Food,6,190,4.9,Solo,Year-round
INT-AC-00054,Bangkok Cooking Class,Bangkok,Thailand,Food,1,68,4.0,Solo,Year-round
INT-AC-00055,New York River Cruise,New York,USA,Food,4,317,4.7,Couple,Year-round
INT-AC-00056,San Francisco Cooking Class,San Francisco,USA,Adventure,1,72,4.2,Couple,Year-round
INT-AC-00057,Amsterdam City Tour,Amsterdam,Netherlands,Culture,3,223,4.0,Solo,Year-round
INT-AC-00058,Paris Cooking Class,Paris,France,Culture,4,165,5.0,Solo,Year-round
INT-AC-00059,Paris City Tour,Paris,France,Adventure,2,340,4.2,Couple,Year-round
INT-AC-00060,Barcelona Cooking Class,Barcelona,Spain,Food,3,351,4.3,Couple,Year-round
INT-AC-00061,Singapore Cooking Class,Singapore,Singapore,Culture,2,85,4.6,Group,Year-round
INT-AC-00062,Berlin City Tour,Berlin,Germany,Food,5,305,4.2,Group,Year-round
INT-AC-00063,Rome Cooking Class,Rome,Italy,Adventure,2,70,4.5,Solo,Year-round
INT-AC-00064,Bangkok City Tour,Bangkok,Thailand,Adventure,3,173,4.0,Couple,Year-round
INT-AC-00065,London Cooking Class,London,UK,Culture,3,322,4.4,Couple,Year-round
INT-AC-00066,Singapore Cooking Class,Singapore,Singapore,Adventure,3,80,4.1,Solo,Year-round
INT-AC-00067,Barcelona Museum Pass,Barcelona,Spain,Food,2,250,4.3,Couple,Year-round
INT-AC-00068,Toronto River Cruise,Toronto,Canada,Culture,2,62,4.7,Solo,Year-round
INT-AC-00069,New York City Tour,New York,USA,Adventure,2,177,4.8,Group,Year-round
INT-AC-00070,Istanbul River Cruise,Istanbul,Turkey,Culture,3,126,4.4,Group,Year-round
INT-AC-00071,Amsterdam River Cruise,Amsterdam,Netherlands,Food,1,259,4.4,Couple,Year-round
INT-AC-00072,Cape Town River Cruise,Cape Town,South Africa,Food,2,373,4.0,Group,Year-round
INT-AC-00073,Barcelona Museum Pass,Barcelona,Spain,Culture,3,201,4.7,Solo,Year-round
INT-AC-00074,New York Cooking Class,New York,USA,Food,2,296,4.3,Solo,Year-round
