activity_id,activity_name,city,country,address,category,vibe,best_season,price_aud,rating,suitable_for,duration_hours,description
INT-AC-00001,Tokyo Food Tour,Tokyo,Japan,"36 Street Food Alley, Shibuya, Tokyo, Japan",Food,Bustling; Modern; Traditional,Spring; Autumn,60,4.0,Couple,2 hrs,"Explore Tokyo's bustling neighbourhood markets and laneway eateries, sampling ramen, takoyaki, and seasonal street bites guided by a local food expert."
INT-AC-00002,Paris Cooking Class,Paris,France,"9 Harbour Kitchen, Champs-Élysées, Paris, France",Food,Romantic; Artistic; Chic,Spring; Summer; Autumn,175,4.1,Group,4 hrs,"Master classic French techniques in a professional kitchen near Le Marais, crafting croissants, sauces, and a three-course dinner under expert tutelage."
INT-AC-00003,Street Food Night Walk Brisbane,Brisbane,Australia,"144 Market Lane, South Bank, Brisbane, Australia",Food,Outdoorsy; Relaxed; Sunny,Spring; Autumn; Winter,35,4.1,Group,4 hrs,"A guided after-dark walk through South Bank and Fortitude Valley's best street-food stalls, from loaded burgers to gourmet ice cream."
INT-AC-00004,Sushi Making Workshop,Berlin,Germany,"151 Harbour Kitchen, Prenzlauer Berg, Berlin, Germany",Food,Edgy; Creative; Historic,Spring; Summer,110,4.7,Couple,2 hrs,"Hands-on session teaching rice preparation, fish selection, and rolling technique — finish by eating your creations with sake pairings."
INT-AC-00005,Wine & Cheese Tasting,Dubai,UAE,"88 Harbour Kitchen, Jumeirah, Dubai, UAE",Food,Luxurious; Futuristic; Vibrant,Spring; Winter,95,4.8,Couple,2 hrs,"Curated tasting of local and imported wines paired with artisan cheeses, hosted in a cellar setting with a certified sommelier."
INT-AC-00006,Local Market Food Experience,Singapore,Singapore,"98 Market Lane, Marina Bay, Singapore, Singapore",Food,Modern; Multicultural; Clean,Spring; Summer; Autumn; Winter,45,4.2,Group,2 hrs,"Navigate a vibrant local produce market with a chef guide, sampling seasonal specialities and learning the stories behind each ingredient."
INT-AC-00007,Craft Beer & Brewery Tour,London,UK,"12 Night Bazaar, Shoreditch, London, UK",Food,Historic; Cosmopolitan; Eclectic,Spring; Summer,60,4.4,Solo,4 hrs,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-AC-00008,Farm-to-Table Dinner Experience,New York,USA,"161 Night Bazaar, SoHo, New York, USA",Food,Fast-paced; Iconic; Diverse,Spring; Autumn,150,4.5,Group,2 hrs,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-AC-00009,Sydney History Walking Tour,Sydney,Australia,"12 Heritage Square, Circular Quay, Sydney, Australia",Culture,Beach; Outdoorsy; Vibrant,Spring; Summer; Autumn,75,4.9,Group,2 hrs,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-AC-00010,Museum Skip-the-Line Tour,Bangkok,Thailand,"26 Museum District, Old City, Bangkok, Thailand",Culture,Lively; Spiritual; Street food,Spring; Winter,80,4.2,Couple,2 hrs,"Fast-track entry and an in-depth guided tour of the city's premier museum, covering highlights and hidden gems in under three hours."
INT-AC-00011,Barcelona Art Gallery Visit,Barcelona,Spain,"91 Old Town, Barceloneta, Barcelona, Spain",Culture,Artistic; Beach; Festive,Spring; Summer,50,4.3,Couple,2 hrs,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-AC-00012,Ancient Temple Morning Walk,Rome,Italy,"42 Museum District, Trastevere, Rome, Italy",Culture,Historic; Romantic; Culinary,Spring; Autumn,45,4.7,Solo,2 hrs,"Early-morning visit to a UNESCO-listed temple complex at sunrise, experiencing rituals and peaceful courtyards before tourist crowds arrive."
INT-AC-00013,Old Town Architecture Tour,Amsterdam,Netherlands,"59 Heritage Square, De Pijp, Amsterdam, Netherlands",Culture,Liberal; Charming; Cycling-friendly,Spring; Summer,70,4.4,Group,3 hrs,A 90-minute walking tour tracing the city's architectural evolution from medieval lanes to baroque facades and modernist interventions.
INT-AC-00014,Cultural Dance Show,Seoul,South Korea,"55 Heritage Square, Insadong, Seoul, South Korea",Culture,Trendy; K-pop; Foodie,Spring; Autumn,60,4.8,Group,3 hrs,"An evening performance showcasing traditional folk dances, live music, and costume, followed by a meet-the-artists session backstage."
INT-AC-00015,Traditional Craft Workshop,Bali,Indonesia,"37 Cultural Precinct, Seminyak, Bali, Indonesia",Culture,Spiritual; Tropical; Bohemian,Spring; Summer; Autumn,105,4.2,Couple,3 hrs,"A two-hour hands-on session learning a regional craft — ceramics, weaving, or bookbinding — guided by a master artisan."
INT-AC-00016,Photography City Tour,Cape Town,South Africa,"93 Cultural Precinct, Gardens, Cape Town, South Africa",Culture,Scenic; Adventurous; Diverse,Summer; Autumn,65,4.1,Couple,3 hrs,"A guided photo walk through the city's most photogenic corners, with tips on composition, light, and storytelling from a professional photographer."
INT-AC-00017,Street Art & Graffiti Tour,Kyoto,Japan,"194 Heritage Square, Fushimi, Kyoto, Japan",Culture,Serene; Traditional; Cultural,Spring; Autumn,50,5.0,Group,3 hrs,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-AC-00018,Local Neighbourhood Walk,Vienna,Austria,"153 Cultural Precinct, Innere Stadt, Vienna, Austria",Culture,Imperial; Musical; Café culture,Spring; Summer,30,4.9,Solo,2 hrs,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-AC-00019,Istanbul Bike Tour,Istanbul,Turkey,"175 Adventure Hub, Beyoğlu, Istanbul, Turkey",Adventure,Historic; Exotic; East-meets-West,Spring; Autumn,45,4.4,Group,5 hrs,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-AC-00020,River Kayaking Experience,Lisbon,Portugal,"76 Adventure Hub, Belém, Lisbon, Portugal",Adventure,Soulful; Coastal; Affordable,Spring; Summer; Autumn,85,4.7,Solo,5 hrs,"Paddle through scenic river gorges with an experienced instructor — safety gear, refreshments, and transport included."
INT-AC-00021,Sunset Sailing Cruise,Prague,Czech Republic,"130 Wharf, Old Town, Prague, Czech Republic",Adventure,Fairy-tale; Beer culture; Gothic,Spring; Summer,135,4.2,Couple,5 hrs,"A two-hour sunset cruise aboard a traditional sailing vessel, with canapés, local wine, and panoramic views of the city skyline."
INT-AC-00022,Jungle Trekking Adventure,Maldives,Maldives,"96 Wharf, North Malé Atoll, Maldives, Maldives",Adventure,Luxury; Tropical; Remote,Spring; Winter,75,4.9,Solo,4 hrs,"Half-day guided trek through primary rainforest, spotting endemic wildlife and crossing rope bridges, concluding with a riverside picnic."
INT-AC-00023,Desert Safari Experience,Zurich,Switzerland,"5 Outdoor Centre, Enge, Zurich, Switzerland",Adventure,Clean; Alpine; Upscale,Summer; Autumn,295,4.2,Group,5 hrs,"Dune-bashing by 4WD followed by a Bedouin-style camp dinner under the stars, with camel rides, henna, and live music included."
INT-AC-00024,Rock Climbing Los Angeles,Los Angeles,USA,"62 Adventure Hub, Hollywood, Los Angeles, USA",Adventure,Sunny; Creative; Beach,Spring; Summer; Autumn,70,4.9,Group,4 hrs,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-AC-00025,Scuba Diving Lesson,Toronto,Canada,"195 Adventure Hub, Kensington, Toronto, Canada",Adventure,Multicultural; Friendly; Urban,Summer; Autumn,160,4.9,Couple,6 hrs,"PADI-certified introductory dive in crystal-clear coastal waters, covering basic techniques in a confined pool before an open-water experience."
INT-AC-00026,Hot Air Balloon Ride,Tokyo,Japan,"68 Wharf, Asakusa, Tokyo, Japan",Adventure,Bustling; Modern; Traditional,Spring; Autumn,385,4.8,Couple,6 hrs,"Float over the city at dawn in a private basket, watching the landscape emerge in golden light with a champagne breakfast on landing."
INT-AC-00027,Zip Line Forest Canopy,Paris,France,"172 Outdoor Centre, Montmartre, Paris, France",Adventure,Romantic; Artistic; Chic,Spring; Summer; Autumn,120,5.0,Group,5 hrs,"Fly through the forest canopy on a multi-line zip circuit up to 200 m long, with safety briefing, harness fitting, and photos included."
INT-AC-00028,Stand-Up Paddleboard Tour,Brisbane,Australia,"58 Wharf, Fortitude Valley, Brisbane, Australia",Adventure,Outdoorsy; Relaxed; Sunny,Spring; Autumn; Winter,85,4.4,Couple,3 hrs,"Guided SUP tour along calm coastal or river waterways, exploring hidden coves and sea caves only accessible from the water."
INT-AC-00029,Coastal Cliff Walk,Berlin,Germany,"19 Adventure Hub, Kreuzberg, Berlin, Germany",Adventure,Edgy; Creative; Historic,Spring; Summer,35,4.3,Solo,4 hrs,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-AC-00030,Night Kayaking Tour,Dubai,UAE,"132 Adventure Hub, Downtown Dubai, Dubai, UAE",Adventure,Luxurious; Futuristic; Vibrant,Spring; Winter,80,4.2,Group,5 hrs,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-AC-00031,Harbour Sunset Cruise,Singapore,Singapore,"186 Rooftop Terrace, Chinatown, Singapore, Singapore",Relaxation,Modern; Multicultural; Clean,Spring; Summer; Autumn; Winter,85,4.3,Group,3 hrs,"A scenic evening cruise around the harbour with cocktails, local cheese, and a live acoustic duo as the city lights come on."
INT-AC-00032,Spa & Wellness Half Day,London,UK,"105 Sky Lounge, Kensington, London, UK",Relaxation,Historic; Cosmopolitan; Eclectic,Spring; Summer,200,4.9,Solo,3 hrs,"Four hours of treatments including a traditional massage, thermal pools, and a skin ritual using locally sourced botanicals."
INT-AC-00033,Rooftop Bar Sunset Experience,New York,USA,"106 Sky Lounge, Midtown, New York, USA",Relaxation,Fast-paced; Iconic; Diverse,Spring; Autumn,50,4.1,Group,4 hrs,"Reserved rooftop terrace access during golden hour, with a curated cocktail menu and 360-degree views over the city's skyline."
INT-AC-00034,City Panorama Cable Car,Sydney,Australia,"16 Wellness Centre, Bondi, Sydney, Australia",Relaxation,Beach; Outdoorsy; Vibrant,Spring; Summer; Autumn,60,4.9,Solo,5 hrs,"Ride historic gondolas to the city's highest viewpoint, with optional guided commentary and a café terrace at the summit."
INT-AC-00035,Morning Yoga & Meditation,Bangkok,Thailand,"49 Rooftop Terrace, Silom, Bangkok, Thailand",Relaxation,Lively; Spiritual; Street food,Spring; Winter,50,4.7,Solo,3 hrs,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-AC-00036,Thermal Baths & Spa,Barcelona,Spain,"119 Spa Quarter, Gothic Quarter, Barcelona, Spain",Relaxation,Artistic; Beach; Festive,Spring; Summer,80,4.4,Couple,3 hrs,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-AC-00037,Rome Food Tour,Rome,Italy,"13 Market Lane, Colosseum, Rome, Italy",Food,Historic; Romantic; Culinary,Spring; Autumn,75,4.9,Group,3 hrs,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-AC-00038,Amsterdam Cooking Class,Amsterdam,Netherlands,"43 Street Food Alley, Museumplein, Amsterdam, Netherlands",Food,Liberal; Charming; Cycling-friendly,Spring; Summer,165,5.0,Group,2 hrs,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-AC-00039,Street Food Night Walk Seoul,Seoul,South Korea,"43 Market Lane, Gangnam, Seoul, South Korea",Food,Trendy; K-pop; Foodie,Spring; Autumn,60,4.5,Group,3 hrs,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-AC-00040,Sushi Making Workshop,Bali,Indonesia,"74 Harbour Kitchen, Ubud, Bali, Indonesia",Food,Spiritual; Tropical; Bohemian,Spring; Summer; Autumn,125,4.0,Couple,3 hrs,"Hands-on session teaching rice preparation, fish selection, and rolling technique — finish by eating your creations with sake pairings."
